station_name,id,station_id,latitude,longitude,capacity
Sheffield Ave & Wrightwood Ave,TA1309000023,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,41.928712,-87.653833,31
Kedzie Ave & Palmer Ct,13292,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,41.921525,-87.707322,15
Sedgwick St & Schiller St,TA1307000143,a3a854bf-a135-11e9-9cda-0a87ae2ba916,41.907626,-87.638566,15
Malcolm X College,631,a3b3915a-a135-11e9-9cda-0a87ae2ba916,41.877618,-87.673895,19
Milwaukee Ave & Ainslie St,24370,1969221526359528022,41.96861,-87.76108,19
Racine Ave & Garfield Blvd,559,a3b222fc-a135-11e9-9cda-0a87ae2ba916,41.794228,-87.655073,11
Cicero Ave & Wrightwood Ave,23180,1890605196211329420,41.9279057,-87.7467295,15
Morgan St & Lake St*,chargingstx4,94788869-1849-43f6-99e1-2eacbc3fab03,41.88549170626906,-87.65228927135468,20
Bennett Ave & 79th St,16970,a3b2862e-a135-11e9-9cda-0a87ae2ba916,41.751785,-87.578496,11
MLK Jr Dr & 56th St,KA1503000073,a3ad7636-a135-11e9-9cda-0a87ae2ba916,41.79342945658,-87.6158532619,11
Halsted St & Polk St,TA1307000121,a3a565b1-a135-11e9-9cda-0a87ae2ba916,41.87184,-87.64664,19
Ashland Ave & Lake St,13073,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,41.88592,-87.66717,19
Aberdeen St & Randolph St,18062,a3b3634c-a135-11e9-9cda-0a87ae2ba916,41.884114,-87.654264,15
Panama Ave & Grace St,21394,2010820263334840794,41.94766,-87.82925,11
21st St & Pulaski Rd,21331,1931696364106218226,41.85344207588209,-87.72462849736986,15
Halsted St & 21st St,13162,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,41.85377981072743,-87.6466029882431,11
Major Taylor Trail & 124th St,20208,732c9f35-0c82-4128-acc3-2cf447298b1d,41.66869635332246,-87.63711333274841,15
Christiana Ave & Lawrence Ave,15615,a3af8123-a135-11e9-9cda-0a87ae2ba916,41.96835449363,-87.7118306675,15
Montrose Harbor,TA1308000012,a3a8999a-a135-11e9-9cda-0a87ae2ba916,41.963982,-87.638181,31
Wabash Ave & 49th St,24340,1963673207600511026,41.80581,-87.6245,15
Wood St & Webster Ave,TA1307000138,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,41.92105672992757,-87.67279744148254,19
Wilton Ave & Diversey Pkwy,TA1306000014,a3a3a282-a135-11e9-9cda-0a87ae2ba916,41.932418,-87.652705,35
Martin Luther King Dr & 87th St,24379,1970688521031469268,41.73677,-87.61439,15
Francisco Ave & 85th St,23119,1879436840905128284,41.738902,-87.695518,15
Wood St & Augusta Blvd,657,a3b481e1-a135-11e9-9cda-0a87ae2ba916,41.899181,-87.6722,15
Kedzie Ave & 60th St,24273,1963671811736140038,41.78458,-87.70319,15
Loomis Blvd & 84th St,20121,e63300bd-4ca3-4255-adfd-522289d68b8a,41.741486528618054,-87.65841007232666,15
Lincoln Ave & Roscoe St*,chargingstx5,4843d153-c725-4230-a4c7-402da6a62143,41.9433502470174,-87.67066776752472,16
Leavitt St & Chicago Ave,18058,a3b48c07-a135-11e9-9cda-0a87ae2ba916,41.895501,-87.682017,19
Monticello Ave & Irving Park Rd,KA1504000139,a3afb401-a135-11e9-9cda-0a87ae2ba916,41.95400483876,-87.7191281797,15
Southport Ave & Irving Park Rd,TA1309000043,a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,41.954177,-87.664358,15
Kildare Ave & Archer Ave,24285,1963672425916463636,41.80034,-87.73079,15
Loomis St & Jackson Blvd,13206,a3a62aad-a135-11e9-9cda-0a87ae2ba916,41.877945,-87.662007,19
Melvina Ave & Giddings Ave,24368,2007796988006173238,41.96648,-87.78202,16
Baltimore Ave & 133rd St,24407,1975534406854476324,41.65349,-87.54703,16
Grace St & Cicero Ave,21322,1936582560225114270,41.94973,-87.74695,15
Green St & Randolph St*,chargingstx3,430d5876-c44d-446e-ac53-065da9fb9c17,41.883601657275165,-87.64862671494483,12
Damen Ave & Cortland St,13133,a3a80512-a135-11e9-9cda-0a87ae2ba916,41.915983,-87.677335,19
Halsted St & 96th St,20105,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,41.719712183618824,-87.6430195569992,15
Talman Ave & Addison St,15632,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,41.9466358306,-87.694614758,15
State St & Pershing Rd,15449,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,41.82301523798,-87.6265680185,11
Lockwood Ave & Grand Ave,23187,1929883678185797908,41.9175941,-87.7584143,15
Mozart St & 55th St,24267,1966307477149012058,41.79375,-87.69472,11
Blue Island Ave & 18th St,13135,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,41.857556,-87.661535,15
Morgan St & 31st St,TA1308000046,a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,41.8378,-87.65114,11
Broadway & Berwyn Ave,13109,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,41.978361,-87.659789,15
Southport Ave & Wellington Ave,TA1307000006,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,41.93577461766458,-87.66360014677048,19
Nagle Ave & Belmont Ave,24324,1981488728284770592,41.93852,-87.78735,16
Pulaski Rd & 60th Pl,24283,1992234898774407528,41.78315,-87.72257,16
Kostner Ave & 63rd St,21406,1938034236347042306,41.77875,-87.73246,15
Wood St & 33rd St,24237,1958859639339458778,41.83427,-87.6706,15
Elston Ave & Cortland St,TA1305000039,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,41.91643342912655,-87.66674637794495,23
Laramie Ave & Madison St,540,a3b148bf-a135-11e9-9cda-0a87ae2ba916,41.880207,-87.755337,11
Loomis St & 95th St,24358,2013067286975627866,41.72148,-87.65774,16
Lynch Ave & Elston Ave,24477,2021144286196005052,41.98096,-87.76149,16
Cottage Grove Ave & Oakwood Blvd,TA1308000038,a3a97a01-a135-11e9-9cda-0a87ae2ba916,41.822985,-87.6071,15
Indiana Ave & 133rd St,24409,1978857650118994914,41.6538,-87.61719,16
Blackstone Ave & Hyde Park Blvd,13398,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,41.802562,-87.590368,19
California Ave & 36th St,21338,1934289361049585738,41.828098,-87.694684,15
Richmond St & Diversey Ave,15645,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,41.93190196886,-87.7011951301,15
Buckingham Fountain,15541.1.1,1862806445904101456,41.876368,-87.6205586,39
State St & 111th St,24417,1991508150894459550,41.69251,-87.62287,16
Kilbourn Ave & Milwaukee Ave,16994,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,41.94707089418471,-87.74000823497772,15
63rd St Beach,15491,a3a547b8-a135-11e9-9cda-0a87ae2ba916,41.78091096424803,-87.57632374763489,15
Indiana Ave & 26th St,TA1307000005,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,41.845687,-87.622481,15
MLK Jr Dr & 29th St,TA1307000139,a3a859c4-a135-11e9-9cda-0a87ae2ba916,41.842052,-87.617,19
Racine Ave & 65th St,564,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,41.775393,-87.654308,11
Pulaski Rd & Lake St,528,a3b10a40-a135-11e9-9cda-0a87ae2ba916,41.885409,-87.726491,11
Burling St & Diversey Pkwy,13208,2024842594057769234,41.93314,-87.64776,4
Western Blvd & 48th Pl,594,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,41.805661,-87.683392,11
Broadway & Thorndale Ave,15575,a3af2c5f-a135-11e9-9cda-0a87ae2ba916,41.98974251144,-87.6601406209,19
Mozart St & 79th St,23129,1871992980799203880,41.749702,-87.693917,15
Troy St & Elston Ave,15631,a3afd294-a135-11e9-9cda-0a87ae2ba916,41.94524356848,-87.7066499009,15
California Ave & 41st St,24244,1943244520961310788,41.81867,-87.69441,15
Avers Ave & 16th St,24225,1984756450139626426,41.85909,-87.72121,16
Glenwood Ave & Touhy Ave,525,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,42.012701,-87.666058,15
Hoyne Ave & 47th St,KA1504000091,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,41.808227,-87.67718,11
Nordica Ave & Medill Ave,21378,1955905507044284968,41.92227,-87.80202,15
Meade Ave & Diversey Ave,21353,1942117929887056608,41.93086,-87.77845,15
Princeton Ave & 95th St,24360,1984107787514337392,41.72175,-87.63075,16
Smith Park,643,a3b4399a-a135-11e9-9cda-0a87ae2ba916,41.892048,-87.689397,15
Meade Ave & Fullerton Ave,24178,1934288718318207280,41.924751,-87.778272,15
Hale Ave & 107th St,20108,da9e6779-5056-4d45-bae3-9dc325ed2807,41.699206168127674,-87.66891896724701,11
New St & Illinois St,TA1306000013,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,41.890847040623804,-87.61861681938171,31
Bernard St & Peterson Ave,24158,1929538112769137066,41.9904393,-87.715236,15
Stony Island Ave & 64th St,KA1503000021,a3a528d0-a135-11e9-9cda-0a87ae2ba916,41.778881,-87.586647,11
Prospect Sq & 91st St,20103,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,41.7282338,-87.6675239,15
Clark St & Elmdale Ave,KA1504000148,a3af2737-a135-11e9-9cda-0a87ae2ba916,41.990860448125574,-87.66972362995148,15
Keeler Ave & Carmen Ave,23110,1882466626513795782,41.974323,-87.7331,15
Halsted St & 73rd St,20244,a60781db-2bec-4a15-a4a2-363297aefcec,41.76160543804394,-87.64416097666071,15
Dearborn St & Erie St,13045,a3a5700b-a135-11e9-9cda-0a87ae2ba916,41.893992,-87.629318,27
Clark St & Berwyn Ave,KA1504000146,a3af460f-a135-11e9-9cda-0a87ae2ba916,41.978030622486564,-87.66856491565704,19
University Ave & 57th St,KA1503000071,a3ad8072-a135-11e9-9cda-0a87ae2ba916,41.791478,-87.599861,31
Cicero Ave & Flournoy St,16912,a3b13e66-a135-11e9-9cda-0a87ae2ba916,41.872131,-87.746619,11
Kedvale Ave & Peterson Ave,24159,1929967657204564894,41.9900762,-87.7317073,15
Avenue O & 134th St,20214,759171ce-f355-4740-948d-e14bb8f7dc0e,41.6519026853208,-87.53955539376464,15
Ashland Ave & Grand Ave,13434,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,41.891072,-87.666611,15
State St & 95th St,20104,792ceba0-564f-4a2c-bcb5-90da781ffeef,41.7218499,-87.6228544,15
